tf	species	dataset
SPI1	Homo sapiens	ENCSR000BGQ.SPI1.GM12878;ENCSR000BIJ.SPI1.GM12891;ERP004110.SPI1.LCL;ENCSR000BUW.SPI1.HL-60;ENCSR000BGW.SPI1.K-562;GSE103477.SPI1.THP-1_eGFP-Pam3csk-0h;GSE103477.SPI1.THP-1_eGFP-Pam3csk-4h;GSE103477.SPI1.THP-1_NS1-Pam3csk-0h;GSE103477.SPI1.THP-1_NS1-Pam3csk-4h;ERP008568.SPI1.U-937;GSE103477.SPI1.MDM_dNS1;GSE103477.SPI1.MDM_H5N1;GSE103477.SPI1.MDM_IFNb;GSE103477.SPI1.MDM_Mock;GSE70660.SPI1.CD34_ADULT;GSE70660.SPI1.CD34_FETAL;GSE58864.SPI1.dendrite;GSE69558.SPI1.DOHH2;GSE47188.SPI1.macrophage_IFNG;GSE47188.SPI1.macrophage_IL4;GSE66594.SPI1.macrophage_IFNG;GSE66594.SPI1.macrophage_IL4;GSE66594.SPI1.macrophage_TPP;GSE31621.SPI1.monocyte;GSE31621.SPI1.monocyte_MACROPHAGE;GSE70482.SPI1.K-562;GSE74999.SPI1.K-562;GSE74999.SPI1.K-562_NABUT;GSE74999.SPI1.K-562_SAHA;GSE60130.SPI1.Kasumi-1_SICTR;GSE60130.SPI1.Kasumi-1_SIRUNX1ETO;GSE56857.SPI1.NCI-H929;GSE56857.SPI1.OCI-Ly10;GSE56857.SPI1.OCI-Ly3;GSE56857.SPI1.OCI-Ly3_SHCTR;GSE56857.SPI1.OCI-Ly3_SHSPIB;GSE69558.SPI1.OCI-Ly7;GSE25426.SPI1.THP-1_DIFF;GSE89178.SPI1.THP-1_1-25-OH-2D3;GSE89178.SPI1.THP-1_EtOH;GSE112074.SPI1.AML;GSE112074.SPI1.AML_OG86;GSE46044.SPI1.ME-1;GSE71616.SPI1.RS4-11;GSE71616.SPI1.RS4-11_DEX;GSE98367.SPI1.monocyte;GSE98367.SPI1.monocyte_INFg
SPIB	Homo sapiens	GSE56857.SPIB.OCI-Ly10;GSE56857.SPIB.OCI-Ly3;GSE56857.SPIB.OCI-Ly3_SHCTR;GSE56857.SPIB.OCI-Ly3_SHSPIB
SPIN1	Homo sapiens	GSE57499.SPIN1.T778
SRC	Homo sapiens	GSE95121.SRC.MDA-MB-231;GSE95121.SRC.MDA-MB-231_45min;GSE95121.SRC.MDA-MB-231_LQ;GSE95121.SRC.MDA-MB-231_LQ_45min
SREBF1	Homo sapiens	ENCSR000DYU.SREBF1.GM12878;ENCSR897MYK.SREBF1.A-549;ENCSR000EEO.SREBF1.Hep-G2;ENCSR000EZP.SREBF1.Hep-G2;ENCSR815ZDS.SREBF1.K-562;ENCSR197DJH.SREBF1.MCF-7
SREBF2	Homo sapiens	ENCSR000DYT.SREBF2.GM12878;ENCSR638QYO.SREBF2.A-549;ENCSR000EZO.SREBF2.Hep-G2;ENCSR611WZO.SREBF2.HeLa-S3
SRF	Homo sapiens	ENCSR000BGE.SRF.GM12878;ENCSR000BMI.SRF.GM12878;ENCSR041XML.SRF.GM12878;ENCSR000BTD.SRF.Ishikawa;ENCSR000BLV.SRF.Hep-G2;ENCSR000BLK.SRF.K-562;ENCSR000BVA.SRF.MCF-7;ENCSR000BIV.SRF.WA01;ENCSR000BSC.SRF.HCT-116;GSE92738.SRF.A-673-clone-Asp114
SRSF3	Homo sapiens	ENCSR268QIQ.SRSF3.K-562
SRSF4	Homo sapiens	ENCSR696MBC.SRSF4.Hep-G2
SRSF7	Homo sapiens	ENCSR222MYK.SRSF7.K-562
SRSF9	Homo sapiens	ENCSR624GNZ.SRSF9.Hep-G2
SS18	Homo sapiens	GSE108025.SS18.Aska-SS;GSE108025.SS18.Aska-SS_BAF47KO1;GSE108025.SS18.SYO-1;GSE108025.SS18.SYO-1_shSSX
SSRP1	Homo sapiens	ENCSR571PDN.SSRP1.Hep-G2;GSE107595.SSRP1.HT-1080_AclacinomycinA;GSE107595.SSRP1.HT-1080_CBL0100;GSE98758.SSRP1.hiF-T
STAG1	Homo sapiens	ERP008568.STAG1.CHRF28811;ERP000209.STAG1.Hep-G2;ERP008568.STAG1.HL-60;GSE101921.STAG1.HMEC-1;GSE101921.STAG1.MCF-10A;GSE101921.STAG1.MCF-10A_Control;GSE101921.STAG1.MCF-10A_siSTAG2;ERP000209.STAG1.MCF-7;ERP000209.STAG1.MCF-7_E2;ERP000209.STAG1.MCF-7_E2_SHCTCF;ERP000209.STAG1.MCF-7_E2_SHCTR;ERP008568.STAG1.U-937;GSE101921.STAG1.HCAEC;GSE67783.STAG1.erythroid;GSE67783.STAG1.HSPC
STAG2	Homo sapiens	GSE101921.STAG2.HMEC-1;GSE101921.STAG2.MCF-10A;GSE101921.STAG2.MCF-10A_Control;GSE101921.STAG2.MCF-10A_siSTAG1;GSE101921.STAG2.MCF-10A_siSTAG2;GSE101921.STAG2.HCAEC
STAT1	Homo sapiens	ENCSR000DZM.STAT1.GM12878;ENCSR332EYT.STAT1.GM12878;ENCSR000EHJ.STAT1.K-562;ENCSR000EHK.STAT1.K-562;ENCSR000FAU.STAT1.K-562;ENCSR000FAV.STAT1.K-562;GSE100566.STAT1_pS727.SET-2;GSE100566.STAT1.SET-2_cortistatin-A;GSE100566.STAT1.SET-2_DMSO;ENCSR000EZK.STAT1.HeLa-S3;GSE79707.STAT1.AGS;GSE43036.STAT1.CD14;GSE43036.STAT1.CD14_INFG;GSE43036.STAT1.CD14_INFG_LPS;GSE43036.STAT1.CD14_LPS;GSE79707.STAT1.NCI-H358
STAT2	Homo sapiens	ENCSR000FAT.STAT2.K-562;ENCSR000FBC.STAT2.K-562;GSE97661.STAT2.GM12878
STAT3	Homo sapiens	ENCSR000DZV.STAT3.GM12878;ENCSR000DOQ.STAT3.MCF-10A;ENCSR000DOZ.STAT3.MCF-10A;ENCSR000DPB.STAT3.MCF-10A;GSE106844.STAT3.OCI-Ly10;GSE106844.STAT3.OCI-Ly10_AZD1480;GSE106844.STAT3.TMD8;GSE106844.STAT3.TMD8_AZD1480;ERP004237.STAT3.WA01;ENCSR000EDC.STAT3.HeLa-S3;GSE85579.STAT3.HCC70_EtOH;GSE50723.STAT3.U2932;GSE85579.STAT3.HCC1143_EtOH;GSE89157.STAT3.HepaRG;GSE89157.STAT3.HepaRG_sodium-oleate;GSE115597.STAT3.MCF10A-Er-Src_EtOH;GSE115597.STAT3.MCF10A-Er-Src_TAM;GSE85579.STAT3.MDA-MB-157_EtOH;GSE85579.STAT3.MDA-MB-231_EtOH;GSE85579.STAT3.MDA-MB-468_EtOH;GSE79707.STAT3.NCI-H358;GSE50723.STAT3.OCI-Ly10;GSE50723.STAT3.OCI-Ly19;GSE50723.STAT3.OCI-Ly3;GSE50723.STAT3.OCI-Ly7;GSE50723.STAT3.SU-DHL-10;GSE50723.STAT3.SU-DHL-2;GSE50723.STAT3.SU-DHL-4;GSE50723.STAT3.SU-DHL-6;GSE67183.STAT3.Th17;GSE85579.STAT3.A-137;GSE85579.STAT3.A139
STAT5A	Homo sapiens	ENCSR000BQZ.STAT5A.GM12878;ENCSR000BRR.STAT5A.K-562;GSE64862.STAT5A.MV4-11
STAT5B	Homo sapiens	GSE64713.STAT5B.CD8;GSE64713.STAT5B.CD8_H9;GSE64713.STAT5B.CD8_H9RET;GSE64713.STAT5B.CD8_H9RETR;GSE64713.STAT5B.CD8_IL2
SUPT16H	Homo sapiens	GSE98758.SUPT16H.hiF-T
SUPT20H	Homo sapiens	ENCSR000DNP.SUPT20H.GM12878;ENCSR000ECQ.SUPT20H.HeLa-S3
SUPT5H	Homo sapiens	GSE100742.SUPT5H.HeLa_Flavo-0-H2O2;GSE100742.SUPT5H.HeLa_Flavo-10min-H2O2;GSE100742.SUPT5H.HeLa_Flavo-PJ34-0-H2O2;GSE100742.SUPT5H.HeLa_Flavo-PJ34-10min-H2O2;ENCSR894CGX.SUPT5H.K-562;GSE89384.SUPT5H.MOLT-4;GSE89384.SUPT5H.MOLT-4_NVP2;GSE89384.SUPT5H.MOLT-4_SNS
SUZ12	Homo sapiens	ENCSR091BOQ.SUZ12.GM12878;ENCSR744XTG.SUZ12.GM12878;ENCSR090ZDO.SUZ12.HEK293T;GSE108025.SUZ12.Aska-SS;ENCSR771GTF.SUZ12.Hep-G2;ENCSR000AUC.SUZ12.K-562;ENCSR412CTM.SUZ12.K-562;ENCSR757EMK.SUZ12.MCF-7;ENCSR000EXH.SUZ12.NT2-D1;GSE101538.SUZ12.NT2-D1;ENCSR000ATS.SUZ12.WA01;ENCSR000EUQ.SUZ12.WA01;GSE108025.SUZ12.CRL-7250_shSS18;GSE108025.SUZ12.CRL-7250_shSS18-SSX;GSE39459.SUZ12.LNCaP;GSE71675.SUZ12.NCCIT;GSE59087.SUZ12.ProEs;GSE39459.SUZ12.LNCaP-abl;GSE99312.SUZ12.Lu-130
SVIL	Homo sapiens	GSE58258.SVIL.SH-SY5Y_B3_SHCTR;GSE58258.SVIL.SH-SY5Y_B3_SHSVIL
T	Homo sapiens	GSE60606.T.H9_ENDODERM;GSE60606.T.H9_MESODERM
TAF1	Homo sapiens	ENCSR000BGS.TAF1.GM12878;ENCSR000BIM.TAF1.GM12891;ENCSR000BIB.TAF1.GM12892;ENCSR000BTO.TAF1.Ishikawa;ENCSR016BMM.TAF1.liver;ENCSR000BTX.TAF1.neural;ENCSR000BQN.TAF1.PFSK1;ENCSR000BPF.TAF1.A-549;ENCSR000BJN.TAF1.Hep-G2;ENCSR000BKS.TAF1.K-562;ENCSR000AHF.TAF1.MCF-7;ENCSR000BQF.TAF1.SK-N-SH;ENCSR000BHO.TAF1.WA01;ENCSR000BHT.TAF1.HeLa-S3
TAF15	Homo sapiens	ENCSR825MZS.TAF15.Hep-G2;ENCSR047LSJ.TAF15.K-562
TAF2	Homo sapiens	GSE17917.TAF2.hESC
TAF3	Homo sapiens	GSE43539.TAF3.HCT-116
TAF7	Homo sapiens	ENCSR000BNM.TAF7.K-562;ENCSR671GFC.TAF7.K-562;ENCSR000BLU.TAF7.WA01
TAF9B	Homo sapiens	ENCSR100UQX.TAF9B.K-562
TAL1	Homo sapiens	ERP008568.TAL1.CHRF28811;ENCSR000EHB.TAL1.K-562;ENCSR106FRG.TAL1.K-562;GSE107726.TAL1.K-562;GSE107726.TAL1.K-562_MYO1D-Hub_KO;GSE107726.TAL1.K-562_MYO1D-Non-hub_KO;GSE52924.TAL1.CD34;GSE53423.TAL1.ECFC;GSE53423.TAL1.ECFC_TSA;GSE25000.TAL1_SCL.erythroid;GSE42390.TAL1.erythroid;GSE59657.TAL1.HSPC;GSE25000.TAL1_SCL.Jurkat;GSE29180.TAL1.Jurkat;GSE33850.TAL1.PRIMA2;GSE33850.TAL1.PRIMA5;GSE59087.TAL1.ProEs;GSE39179.TAL1.RPMI8402;GSE33850.TAL1.CCRF-CEM;GSE59657.TAL1.MOLT-3;GSE60477.TAL1.TSU-1621MT;GSE46044.TAL1.ME-1;GSE93372.TAL1.HSPC-CD34pos
TARDBP	Homo sapiens	ENCSR016UEH.TARDBP.GM12878;ENCSR412QBS.TARDBP.GM12878;ENCSR753GIA.TARDBP.HEK293T;ENCSR145CXH.TARDBP.Hep-G2;ENCSR033VAZ.TARDBP.K-562;ENCSR353HEP.TARDBP.K-562;ENCSR429XTR.TARDBP.K-562;ENCSR801SWX.TARDBP.MCF-7
TASOR	Homo sapiens	GSE95451.TASOR.HeLa;GSE95374.TASOR.K-562_MORC2-KO;GSE95374.TASOR.K-562_MPP8-KO;GSE95374.TASOR.K-562_TASOR-KO
TBL1X	Homo sapiens	GSE35197.TBL1X.HEK293T
TBL1XR1	Homo sapiens	ENCSR000DYZ.TBL1XR1.GM12878;ENCSR101FJS.TBL1XR1.Hep-G2;ENCSR000EGA.TBL1XR1.K-562;ENCSR000EGB.TBL1XR1.K-562
TBP	Homo sapiens	ENCSR000DZZ.TBP.GM12878;ENCSR000EEL.TBP.Hep-G2;ENCSR000EHA.TBP.K-562;ENCSR000ECB.TBP.WA01;ENCSR000EDD.TBP.HeLa-S3;GSE55306.TBP.K-562;GSE116772.TBP.HBTEC_DM_MOI100_12hpi;GSE116772.TBP.HBTEC_DM_MOI100_18hpi;GSE116772.TBP.HBTEC_MOI20_12hpi;GSE116772.TBP.HBTEC_MOI20_18hpi;GSE116772.TBP.HBTEC_MOI5_dl312_18hpi;GSE46044.TBP.ME-1
TBX2	Homo sapiens	GSE94822.TBX2.Kelly;GSE94822.TBX2.SK-N-BE2-C
TBX21	Homo sapiens	ENCSR739IHN.TBX21.GM12878;GSE62482.TBX21.CD4_TH1;GSE81881.TBX21.TH1_CD3-CD28_donor2
TBX3	Homo sapiens	ENCSR238QRG.TBX3.Hep-G2;ENCSR605YWG.TBX3.Hep-G2
TBX5	Homo sapiens	GSE85628.TBX5.cardiomyocyte;GSE85628.TBX5.cardiomyocyte_1;GSE85628.TBX5.cardiomyocyte_5;GSE85628.TBX5.cardiomyocyte_7;GSE85628.TBX5.G296S;GSE85628.TBX5.G296S_2;GSE85628.TBX5.G296S_4
TCF12	Homo sapiens	ENCSR000BGZ.TCF12.GM12878;ENCSR725VFL.TCF12.GM12878;ENCSR000BUV.TCF12.Ishikawa;ENCSR000BQQ.TCF12.A-549;ENCSR000BJG.TCF12.Hep-G2;ENCSR189TRZ.TCF12.K-562;ENCSR744WOO.TCF12.K-562;ENCSR000BUN.TCF12.MCF-7;ENCSR000BSL.TCF12.SK-N-SH;ENCSR000BIT.TCF12.WA01;GSE29180.TCF12.Jurkat;GSE39179.TCF12.RPMI8402;GSE33850.TCF12.CCRF-CEM;GSE23730.TCF12.Kasumi-1;GSE43834.TCF12.Kasumi-1;GSE46044.TCF12.ME-1
TCF25	Homo sapiens	ENCSR110QXM.TCF25.Hep-G2
TCF3	Homo sapiens	ENCSR000BQT.TCF3.GM12878;GSE29180.TCF3.Jurkat;GSE39179.TCF3.RPMI8402;GSE85988.TCF3.SEM;GSE33850.TCF3.CCRF-CEM;GSE43834.TCF3.Kasumi-1;GSE85988.TCF3.RCH-ACV
TCF4	Homo sapiens	GSE31939.TCF4.LS180;GSE31939.TCF4.LS180_125;GSE76147.TCF4.CAL-1;GSE76147.TCF4.GEN2-2;GSE96915.TCF4.SH-SY5Y
TCF7	Homo sapiens	ENCSR501DKS.TCF7.GM12878;ENCSR444LIN.TCF7.Hep-G2;ENCSR863KUB.TCF7.K-562
TCF7L2	Homo sapiens	ENCSR000EUY.TCF7L2.HEK293;ENCSR000EVQ.TCF7L2.Hep-G2;ENCSR888XZK.TCF7L2.K-562;ENCSR000EWT.TCF7L2.MCF-7;ENCSR000EXL.TCF7L2.PANC-1;ENCSR000EUV.TCF7L2.HCT-116;ENCSR000EVE.TCF7L2.HeLa-S3;ENCSR000EVF.TCF7L2.HeLa-S3;GSE29194.TCF7L2.CD34_PROG_BIO;GSE51621.TCF7L2.LNCaP;GSE45201.TCF7L2.MDA-MB-453;GSE45201.TCF7L2.MDA-MB-453_DHT
TCOF1	Homo sapiens	GSE89420.TCOF1.HeLa
TEAD1	Homo sapiens	ERP008682.TEAD1.pancreas_12D;ENCSR497JLX.TEAD1.Hep-G2;GSE107013.TEAD1.MCF-7;GSE107013.TEAD1.T-47D;GSE62272.TEAD1.CCLP1;GSE82295.TEAD1.HFOB_DIFF;GSE68296.TEAD1.HUCCT1;GSE68170.TEAD1.MSTO;GSE62274.TEAD1.H69
TEAD2	Homo sapiens	ENCSR635GTR.TEAD2.K-562
TEAD3	Homo sapiens	ENCSR666QNP.TEAD3.Hep-G2
TEAD4	Homo sapiens	ENCSR000BSW.TEAD4.Ishikawa;ENCSR000BUD.TEAD4.A-549;ENCSR000BRP.TEAD4.Hep-G2;ENCSR000BRK.TEAD4.K-562;ENCSR000BUO.TEAD4.MCF-7;ENCSR000BUQ.TEAD4.SK-N-SH;ENCSR000BRY.TEAD4.WA01;ENCSR000BVJ.TEAD4.HCT-116;GSE84389.TEAD4.BE2C;GSE68296.TEAD4.HUCCT1;GSE44416.TEAD4.MKN28;GSE52437.TEAD4.WA09_DMSO;GSE66081.TEAD4.MDA-MB-231;GSE44416.TEAD4.SNU-216;GSE84389.TEAD4.SK-N-BE2;GSE99202.TEAD4.hESC;GSE94488.TEAD4.SK-MEL-147
TERF1	Homo sapiens	GSE55053.TERF1.LCL
TERF2	Homo sapiens	GSE46237.TERF2.HeLa;GSE55053.TERF2.LCL;GSE88983.TERF2.myotube_TERF2_ovexp;GSE46237.TERF2.WI-38VA13
TERT	Homo sapiens	GSE77146.TERT.BLM;GSE77146.TERT.LOX-IMVI;GSE77146.TERT.P493-6;GSE77146.TERT.hESC-1
TET2	Homo sapiens	GSE85524.TET2.Jurkat;GSE85524.TET2.Jurkat_NCKD;GSE85524.TET2.Jurkat_RUNX1KD
TET3	Homo sapiens	GSE53809.TET3.HEK293T
TFAP2A	Homo sapiens	GSE105081.TFAP2A.WA09;GSE60270.TFAP2A.MCF-7;GSE60270.TFAP2A.MCF-7_E2
TFAP2C	Homo sapiens	GSE105081.TFAP2C.WA09;GSE101074.TFAP2C.UCLA1-hESCs_5iLAF-media;GSE101074.TFAP2C.UCLA1-hESCs_TFAP2C--_1d_TFAP2C_Induc;GSE101074.TFAP2C.UCLA1-hESCs_TFAP2C--_2d_TFAP2C_Induc;GSE36351.TFAP2C.SKBR3;GSE36351.TFAP2C.BT-474;GSE41234.TFAP2C.A-375_DMSO;GSE21234.TFAP2C.MCF-7;GSE23852.TFAP2C.MCF-7_E2;GSE23852.TFAP2C.MCF-7_ETOH;GSE36351.TFAP2C.MCF-7;GSE36351.TFAP2C.MDA-MB-453
TFAP4	Homo sapiens	ENCSR103SZL.TFAP4.Hep-G2;GSE28857.TFAP4.LNCaP;GSE46935.TFAP4.DLD-1;GSE45738.TFAP4.Kasumi-1
TFDP1	Homo sapiens	ENCSR017GBO.TFDP1.K-562;ENCSR224IKA.TFDP1.K-562;GSE80661.TFDP1.MM1-S;GSE80661.TFDP1.U266
TFE3	Homo sapiens	ENCSR589SNT.TFE3.Hep-G2
TFIIIC	Homo sapiens	GSE119418.TFIIIC.HEK293
TGIF2	Homo sapiens	ENCSR993LMB.TGIF2.Hep-G2
THAP1	Homo sapiens	ENCSR000BNN.THAP1.K-562
THAP11	Homo sapiens	ENCSR562POI.THAP11.Hep-G2;GSE31417.THAP11.HeLa
THRA	Homo sapiens	ENCSR264CZJ.THRA.K-562
THRAP3	Homo sapiens	ENCSR871TKJ.THRAP3.K-562
THRB	Homo sapiens	ENCSR430JGJ.THRB.Hep-G2
TLE3	Homo sapiens	GSE41561.TLE3.MCF-7;GSE94682.TLE3.LNCaP;GSE94682.TLE3.LNCaP_r1881
TOP1	Homo sapiens	GSE63202.TOP1.LNCaP;GSE63202.TOP1.LNCaP_DHT;GSE57628.TOP1.HCT-116_JQ1
TOP2A	Homo sapiens	GSE79593.TOP2A.K-562_Etoposide;GSE79593.TOP2A.K-562_Genistein;GSE79593.TOP2A.K-562_Mitoxantrone;GSE79593.TOP2A.K-562_pBQ
TP53	Homo sapiens	ERP014035.TP53.BC3;ERP014035.TP53.BC3_NUT;ERP014035.TP53.BC3_TPA_24H;ERP014035.TP53.BC3_TPA_4H;GSE102796.TP53.SW480_0h_TNFa;GSE102796.TP53.SW480_16h_TNFa;ERP004176.TP53.U2OS;ERP004176.TP53.U2OS_UV_16H;ERP004176.TP53.U2OS_UV_8H;GSE100292.TP53.U2OS_2h_4GY;GSE100292.TP53.A-549_2h_4GY;GSE100292.TP53.A-498_2h_4GY;GSE100292.TP53.LOX-IMVI_2h_4GY;GSE100292.TP53.MALME-3_2h_4GY;GSE100099.TP53.MCF-7_1h_IR_10Gy;GSE100099.TP53.MCF-7_2-5h_IR_10Gy;GSE100099.TP53.MCF-7_4h_IR_10Gy;GSE100099.TP53.MCF-7_7-5h_IR_10Gy;GSE100099.TP53.MCF-7_7-5h_IR_10Gy_Nutlin;GSE100292.TP53.MCF-7_2h_4GY;GSE100292.TP53.MCF-7_minus_Decitabine;GSE100292.TP53.MCF-7_nutlin_2h;GSE100292.TP53.MCF-7_plus_Decitabine;GSE101737.TP53.MCF-7;GSE101737.TP53.MCF-7_NCS-treated;ERP022459.TP53.NCI-H1299;GSE100292.TP53.NCI-H460_2h_4GY;ERP002038.TP53.SaOS-2;GSE100292.TP53.SK-MEL-5_2h_4GY;GSE100292.TP53.UACC-257_2h_4GY;GSE100292.TP53.UACC-257_nutlin_2h;GSE100292.TP53.UACC-62_2h_4GY;GSE100292.TP53.UO-31_2h_4GY;GSE100292.TP53.HCT-116_2h_4GY;GSE100292.TP53.RPE_2h_4GY;GSE55727.TP53.GM00011;GSE55727.TP53.GM06170;GSE39912.TP53.hESC_DAMAGED;GSE39912.TP53.hESC_DIFF;GSE56674.TP53.keratinocyte;GSE56674.TP53.keratinocyte_ADRIA;GSE56674.TP53.keratinocyte_CISP;GSE110368.TP53.lymphocyte_104_Nutlin;GSE110368.TP53.lymphocyte_116;GSE110368.TP53.lymphocyte_116_DXR;GSE110368.TP53.lymphocyte_116_Nutlin;GSE110368.TP53.lymphocyte_45;GSE110368.TP53.lymphocyte_45_DXR;GSE110368.TP53.lymphocyte_45_Nutlin;GSE110368.TP53.lymphocyte_90;GSE110368.TP53.lymphocyte_90_DXR;GSE110368.TP53.lymphocyte_90_Nutlin;GSE115985.TP53.SW480_shLacZ_16h_TNF-a;GSE115985.TP53.SW480_shp53_16h_TNF-a;GSE67108.TP53.SW480;GSE110800.TP53.U2OS_10Gy_2h_recovery;GSE110800.TP53.U2OS_10Gy_4h_recovery;GSE21939.TP53_PS15.U2OS_ACTD;GSE21939.TP53_PS15.U2OS_ETO;GSE21939.TP53_PS46.U2OS_ACTD;GSE21939.TP53_PS46.U2OS_ETO;GSE21939.TP53.U2OS_ACTD;GSE21939.TP53.U2OS_ETO;GSE46641.TP53.U2OS;GSE46641.TP53.U2OS_DMSO;GSE46641.TP53.U2OS_DXR;GSE46641.TP53.U2OS_NUT;GSE39912.TP53.H9;GSE64877.TP53.Hep-G2;GSE115940.TP53.IMR-90;GSE31558.TP53.IMR-90;GSE42728.TP53.IMR-90;GSE42728.TP53.IMR-90_SENES_SHLUC;GSE42728.TP53.IMR-90_SENES_SHP53;GSE53491.TP53.IMR-90_APO;GSE53491.TP53.IMR-90_SENE;GSE58740.TP53.IMR-90_DMSO;GSE58740.TP53.IMR-90_NUT3A;GSE47041.TP53.MCF-7_NUT;GSE86164.TP53.MCF-7_nutlin;GSE15780.TP53.SaOS-2;GSE51268.TP53.SaOS-2;GSE86164.TP53.SJSA-1;GSE86164.TP53.SJSA-1_nutlin;GSE58506.TP53.HCT-116;GSE58506.TP53.HCT-116_5FU;GSE58714.TP53.HCT-116;GSE60267.TP53.HCT-116_IR;GSE74355.TP53.HCT-116_CAMP;GSE74355.TP53.HCT-116_DMSO_KOATF3;GSE86164.TP53.HCT-116_nutlin;GSE95303.TP53.MDA-MB-231
TP63	Homo sapiens	GSE106563.TP63.TE-5;GSE43111.TP63.EP156T;GSE60814.TP63.HaCaT_caRAS_TGFB;GSE60814.TP63.HaCaT_dnRAS_TGFB;GSE60814.TP63.HaCaT_LacZ;GSE60814.TP63.HaCaT_LacZ_TGFB;GSE46837.TP63.HCC95;GSE33571.TP63.keratinocyte;GSE33571.TP63.keratinocyte_diff;GSE56674.TP63.keratinocyte;GSE56674.TP63.keratinocyte_ADRIA;GSE56674.TP63.keratinocyte_CISP;GSE59824.TP63.keratinocyte_D0;GSE59824.TP63.keratinocyte_D2;GSE59824.TP63.keratinocyte_D4;GSE59824.TP63.keratinocyte_D7;GSE67382.TP63.keratinocyte_epidermal;GSE67382.TP63.keratinocyte_epidermal_KDPAF;GSE46837.TP63.KYSE70;GSE46837.TP63.TT;GSE88859.TP63.JHU-029;GSE72009.TP63.MCF-10A_DCIS;GSE72009.TP63.MDA-MB-231
TP73	Homo sapiens	GSE15780.TP73_DELTANP.SaOS-2;GSE15780.TP73_TA.SaOS-2;GSE97661.TP73.GM12878
TRIM22	Homo sapiens	ENCSR637QAM.TRIM22.GM12878;ENCSR835XKS.TRIM22.GM12878;ENCSR506HXN.TRIM22.Hep-G2;ENCSR875PEI.TRIM22.MCF-7
TRIM24	Homo sapiens	ENCSR907MZR.TRIM24.K-562;ENCSR957LDM.TRIM24.K-562;GSE100571.TRIM24.MOLM-13_dTRIM24;GSE100571.TRIM24.MOLM-13_IACS-9571;GSE69331.TRIM24.LNCaP_DHT;GSE69331.TRIM24.LNCaP_ETOH;GSE69331.TRIM24.LNCaP-abl_ETOH
TRIM25	Homo sapiens	GSE79588.TRIM25.BT-549;GSE79588.TRIM25.MDA-MB-231
TRIM28	Homo sapiens	ENCSR000EUZ.TRIM28.HEK293;ENCSR618HNF.TRIM28.HEK293;ENCSR000EYC.TRIM28.U2OS;ENCSR000BRW.TRIM28.K-562;ENCSR000EVY.TRIM28.K-562;ENCSR474CVP.TRIM28.K-562;GSE53271.TRIM28.TB40E;GSE84382.TRIM28.WIBR3;GSE84382.TRIM28.WIBR3_NAIVE;GSE78099.TRIM28.WA01;GSE72622.TRIM28.HCT-116;GSE84259.TRIM28.AF22
TRIP13	Homo sapiens	ENCSR154EIH.TRIP13.K-562
TRP47	Homo sapiens	GSE118453.TRP47.THP-1
TRPS1	Homo sapiens	GSE107013.TRPS1.MCF-7;GSE107013.TRPS1.T-47D
TRRAP	Homo sapiens	GSE20303.TRRAP.HeLa
TSC22D4	Homo sapiens	ENCSR787RVK.TSC22D4.K-562;GSE97661.TSC22D4.GM12878;GSE97661.TSC22D4.Hep-G2
TSHZ1	Homo sapiens	ENCSR217WRC.TSHZ1.HEK293
TWIST1	Homo sapiens	GSE80151.TWIST1.BE2C;GSE80151.TWIST1.SHEP-21N;GSE80151.TWIST1.SHEP-21N_24h;GSE80151.TWIST1.SHEP-21N_DOX_0H;GSE80151.TWIST1.SHEP-21N_DOX_24H;GSE80151.TWIST1.SK-N-BE2-C
U2AF1	Homo sapiens	ENCSR868JLS.U2AF1.Hep-G2;ENCSR690GUG.U2AF1.K-562
U2AF2	Homo sapiens	ENCSR991ADX.U2AF2.Hep-G2
UBN1	Homo sapiens	GSE45024.UBN1.HeLa
UBTF	Homo sapiens	ENCSR459FTB.UBTF.GM12878;ENCSR000EFW.UBTF.K-562;ENCSR000EFZ.UBTF.K-562;ENCSR634ZGP.UBTF.HeLa-S3;GSE76586.UBTF.hESC;GSE76586.UBTF.hESC_activinA
USF1	Homo sapiens	ENCSR000BGI.USF1.GM12878;ENCSR000BSX.USF1.Ishikawa;ENCSR000BHX.USF1.A-549;ENCSR000BJB.USF1.A-549;ENCSR000BPV.USF1.A-549;ENCSR000BGM.USF1.Hep-G2;ENCSR000BKT.USF1.K-562;ENCSR000BMF.USF1.SK-N-SH;ENCSR000BTZ.USF1.SK-N-SH;ENCSR000BIU.USF1.WA01;ENCSR000BVK.USF1.HCT-116
USF2	Homo sapiens	ENCSR000DZU.USF2.GM12878;ENCSR563FBT.USF2.A-549;ENCSR000EEF.USF2.Hep-G2;ENCSR513UQG.USF2.IMR-90;ENCSR000EHG.USF2.K-562;ENCSR359NFW.USF2.K-562;ENCSR945NFL.USF2.SK-N-SH;ENCSR000ECD.USF2.WA01;ENCSR000ECW.USF2.HeLa-S3;GSE111469.USF2.K-562;GSE97661.USF2.GM12878;GSE97661.USF2.Hep-G2
USP7	Homo sapiens	GSE61048.USP7.HEK293T
UTX	Homo sapiens	GSE96996.UTX.MCF-7
